date_time,city_area,state,country,ufo_shape,encounter_length,description,date_documented,latitude,longitude,time,weekday,month
2001-08-09 21:30:00,villa ridge,mo,us,light,120.0,White light that changed color&#44 disappeared &amp; reappeared,8/12/2001,38.4725,-90.8866667,21:30,Thursday,August
2012-06-23 22:00:00,seabrook island,sc,us,unknown,2400.0,Witnessed 7 fast&#44 strangely manuevering lights in South Carolina,8/5/2012,32.5769444,-80.1708333,22:00,Saturday,June
2007-08-20 22:00:00,fountain valley,ca,us,circle,900.0,there was a round shaped object that glowed a dull red collor in the night sky; that moved very slowly,10/8/2007,33.7091667,-117.9527778,22:00,Monday,August
2008-04-10 20:00:00,las vegas,nv,us,sphere,3.0,White Sphere loiters than darts towards east,6/12/2008,36.175,-115.1363889,20:00,Thursday,April
2005-04-21 22:05:00,flint,mi,us,light,30.0,Red Object&#44 fast moving craft that did not appear to follow the FAA rules.,5/11/2005,43.0125,-83.6875,22:05,Thursday,April
2012-06-27 23:42:00,tulsa,ok,us,formation,360.0,Flashing lights in formation moving west to east over a 6 minute period in Tulsa OK,7/4/2012,36.1538889,-95.9925,23:42,Wednesday,June
2007-08-20 02:00:00,heber springs,ar,us,circle,30.0,It was fast.,6/12/2008,35.4913889,-92.0311111,02:00,Monday,August
2007-06-09 23:15:00,festus,mo,us,other,300.0,silent ship w/3 blue lights on bottom with escort of 3 craft,6/12/2007,38.2205556,-90.3958333,23:15,Saturday,June
2010-03-26 08:30:00,ephrata,wa,us,light,3000.0,i was looking to the west and saw an orange light which appeared to be changing to red. it appeared for 3 days. i have video footage.,5/12/2010,47.3177778,-119.5525,08:30,Friday,March
2012-06-05 21:00:00,los angeles,ca,us,light,300.0,9 UFO lights in my back yard. MUST SEE.,6/8/2012,34.0522222,-118.2427778,21:00,Tuesday,June
2004-04-30 22:00:00,kirkland,wa,us,chevron,60.0,My two sons&#44 11 and 14&#44 and I were walking across a parking lot&#44 (QFC in downtown Kirkland)&#44 and I glanced up at the stars and noticed,5/4/2004,47.6816667,-122.2075,22:00,Friday,April
2012-11-11 17:56:00,sacramento,ca,us,fireball,180.0,Orange ball of flame crosses North Sacramento - no news reports.,12/20/2012,38.5816667,-121.4933333,17:56,Sunday,November
2007-10-25 02:50:00,defiance,oh,us,triangle,30.0,Triangular craft silently moving through the air above me and past me.,11/28/2007,41.2844444,-84.3558333,02:50,Thursday,October
1974-06-30 21:00:00,new york city (bronx),ny,us,circle,600.0,When we were asked to leave.,12/20/2012,40.7141667,-74.0063889,21:00,Sunday,June
2003-06-28 23:30:00,new york city (queens),ny,us,disk,900.0,6/28/03 23:30 4 witnesses. This sighting happened at the Howard Beach Subway Station at JFK Airport. JFK is located in the southeastern,7/16/2003,40.7141667,-74.0063889,23:30,Saturday,June
2003-09-11 00:10:00,windsor,mo,us,triangle,600.0,Silent&#44 low flying&#44 multi-light triangle shaped ufo.,9/24/2003,38.5322222,-93.5219444,00:10,Thursday,September
2008-05-03 12:00:00,silver city,nc,us,sphere,300.0,Black Sphere observed flying low over town in broad daylight,6/12/2008,34.9958333,-79.2263889,12:00,Saturday,May
2013-11-12 21:00:00,buhl,mn,us,circle,20.0,Three white balls of light shot from the ground up and hoovered for a few seconds b4 flashing out to nothing.,11/20/2013,47.4936111,-92.7777778,21:00,Tuesday,November
2006-04-05 22:25:00,oklahoma city,ok,us,circle,600.0,Two hovering orange circles drop third orange circle over oklahoma.,5/15/2006,35.4675,-97.5161111,22:25,Wednesday,April
2006-07-15 22:15:00,dundee,wi,us,light,240.0,Fluorescent-green parallel ceiling lights in line formation flying north of Dundee Wisconsin,7/16/2006,43.6552778,-88.1644444,22:15,Saturday,July
2001-07-09 15:00:00,morristown,nj,us,unknown,240.0,Multiple small&#44 white&#44 high-flying objects seen in daylight,8/5/2001,40.7966667,-74.4819444,15:00,Monday,July
1999-11-16 19:10:00,cleveland,oh,us,disk,5.0,Dear Sirs&#44 My name is ((name deleted)) 36yr old biomedical engineering tech for a local dialysis center. I observed on date reported,11/23/1999,41.4994444,-81.6955556,19:10,Tuesday,November
2008-01-22 02:30:00,crowley,tx,us,light,60.0,Bright green light at 2am.,2/14/2008,32.5788889,-97.3622222,02:30,Tuesday,January
2008-02-11 23:00:00,nebraska city,ne,us,circle,600.0,Large UFO circular in shape with a crescent-like glow spotted for 10 mins&#44 1 mile west of Nebraska City.,2/14/2008,40.6766667,-95.8588889,23:00,Monday,February
2006-07-04 10:30:00,paramount,ca,us,sphere,300.0,Red light over southern california dissappearing on the way down to the ground,7/16/2006,33.8894444,-118.1588889,10:30,Tuesday,July
2009-09-03 23:30:00,los angeles,ca,us,oval,5.0,UFO with intense lights seen over LA on Sept. 3rd&#44 2009,12/12/2009,34.0522222,-118.2427778,23:30,Thursday,September
2007-07-15 22:00:00,wenatchee,wa,us,sphere,300.0,Twin satellites moving together and one shoots off in to space,12/12/2011,47.4236111,-120.3091667,22:00,Sunday,July
1998-12-27 22:30:00,hodgkins,il,us,light,300.0,Several co-workers and I were at work by the quarry in Hodgkins&#44 IL and saw something in the sky.,2/16/1999,41.7688889,-87.8577778,22:30,Sunday,December
2012-05-28 10:00:00,carlsbad,nm,us,light,15.0,star-like lights zipp across the sky out of Aries.,5/29/2012,32.4205556,-104.2283333,10:00,Monday,May
2013-11-24 19:50:00,lake forest,il,us,disk,60.0,Fast moving disk seen above the north Chicago-land area heading north.,12/12/2013,42.2586111,-87.8405556,19:50,Sunday,November
2013-10-13 05:01:00,newark,tx,us,circle,10800.0,Craft was low above trees circling lookin for something to pick up spraying white powder.,10/14/2013,33.0011111,-97.4841667,05:01,Sunday,October
2011-08-08 22:30:00,dallas,tx,us,triangle,45.0,Smallish triangular &quot;floating?&quot; northwest direction&#44 red&#44 blue&#44 yellow lights on corners&#44 low flying.,8/21/2011,32.7833333,-96.8,22:30,Monday,August
2013-07-26 01:30:00,woodbridge,va,us,sphere,55.0,Bright white object at high rate of speed vanishes,8/30/2013,38.6580556,-77.25,01:30,Friday,July
1993-08-15 04:00:00,palm desert,ca,us,triangle,2400.0,triangular object  flew right over us,12/23/2002,33.7222222,-116.3736111,04:00,Sunday,August
2009-09-17 22:00:00,new haven,mo,us,unknown,900.0,unknown object with many colored lights floating in sky for several minutes.,12/12/2009,38.6083333,-91.2188889,22:00,Thursday,September
2006-05-10 01:00:00,somes bar,ca,us,light,8.0,Witnessed airplane sized light triple in size&#44 shrink back and speed away at incredibly high rate of speed,5/15/2006,41.3763889,-123.475,01:00,Wednesday,May
2005-08-17 22:30:00,raleigh,nc,us,changing,3600.0,looking to the west the object would elongate and then condense back to a round shape with red&#44 green&#44white and yellow lights,10/11/2005,35.7719444,-78.6388889,22:30,Wednesday,August
2013-04-13 22:00:00,albuquerque,nm,us,light,3600.0,Above Albuquerque&#44 a very strange light has been flying in weird formations. It moves in small bursts&#44 like a fly on a window. It is a,5/15/2013,35.0844444,-106.6505556,22:00,Saturday,April
2008-05-17 12:00:00,gulf breeze,fl,us,oval,15.0,I am a Battalion Chief with the fire department. I was on duty standing behind one of our stations talking to three other firefighters.,6/12/2008,30.3569444,-87.1638889,12:00,Saturday,May
2013-03-14 21:00:00,arcadia,ia,us,fireball,180.0,Bright Orange Fireball near Arcadia&#44 Iowa,8/30/2013,42.0316667,-95.0458333,21:00,Thursday,March
2004-10-31 00:00:00,seattle,wa,us,fireball,10.0,3 of us were standing out on my deck halloween nite. we were talking about telescopes. I started to point at a star in the clear nite s,12/3/2004,47.6063889,-122.3308333,00:00,Sunday,October
2011-12-29 18:00:00,austin,tx,us,cigar,45.0,Rotating Object Moves Across the Austin Sky,1/12/2012,30.2669444,-97.7427778,18:00,Thursday,December
2001-05-23 22:00:00,ashland,ky,us,sphere,1800.0,Seen Glowing Orb Change Shape And Then Return To Previous Shape And Follow Our  Car,7/16/2006,38.4783333,-82.6380556,22:00,Wednesday,May
1999-05-13 16:30:00,memphis,tn,us,sphere,5.0,Object traveled across sky at high speed into a small cloud and did not emerge.,5/24/1999,35.1494444,-90.0488889,16:30,Thursday,May
1997-03-17 20:00:00,wickenburg,az,us,light,1200.0,A bright&#44 silent&#44  white circular light hovered for about 20 minutes and then sped off and disappeared.,12/7/2006,33.9686111,-112.7288889,20:00,Monday,March
2001-06-14 22:00:00,orinda,ca,us,changing,600.0,IT was 6/14/02&#44 I had just woken up from a nasty dream about scary stuff&#44 and I notice these three glowing things in the sky. I discard,10/15/2002,37.8772222,-122.1786111,22:00,Thursday,June
2012-04-21 15:00:00,colorado springs,co,us,light,14400.0,Bright blinking Light&#44 and a strange jet. also&#44 a helicopter following another intense light.,5/13/2012,38.8338889,-104.8208333,15:00,Saturday,April
2004-04-04 23:20:00,mocksville,nc,us,light,240.0,Bright light hovering over tree line,4/9/2004,35.8938889,-80.5616667,23:20,Sunday,April
2013-07-06 01:00:00,barboursville,wv,us,fireball,300.0,4 fireballs seen about 60 seconds a piece they were reddish orange and was about 4 or 5 mins apart .,7/14/2013,38.4094444,-82.2947222,01:00,Saturday,July
2009-02-05 06:30:00,maple valley,wa,us,triangle,180.0,Triangle shaped ufo in maple valey almost crashes,3/19/2009,47.4066667,-122.0375,06:30,Thursday,February
2009-05-24 22:00:00,milaca,mn,us,light,180.0,Ball of light in the sky,6/9/2009,45.7558333,-93.6541667,22:00,Sunday,May
2012-06-02 00:00:00,marysville,mi,us,circle,600.0,I saw 10 orange orbs about 100 yards away and about 1000 feet off the ground and disapeared in 5 to 10 mins.,9/24/2012,42.9125,-82.4869444,00:00,Saturday,June
2012-05-05 23:00:00,granada hills,ca,us,oval,300.0,L.A. WESTERN SKY 3 OVAL NEON OBJECT,5/13/2012,34.2647222,-118.5222222,23:00,Saturday,May
2000-06-28 16:11:00,st. louis,mo,us,triangle,3.0,While sitting at a stop light&#44 I was looking lazily at the sky when a traingular object &quot;popped&quot; into view...,7/23/2000,38.6272222,-90.1977778,16:11,Wednesday,June
